"subID"	"mode"	"trial"	"choice"	"reaction_time"	"reward"	"condition"	"reward_prob_1"	"reward_prob_2"	"payoff_1"	"payoff_2"
"02"	"practice"	12	0	0.529008599987719	1	1	0.57	0.57	1	0
"02"	"practice"	13	0	0.782076100003906	0	0	0.579271345360071	0.574325757250551	0	1
"02"	"practice"	14	1	1.48536140000215	1	0	0.520958560184316	0.543036659813899	1	1
"02"	"practice"	15	1	0.956103199976496	1	0	0.571306215105765	0.607148172349547	1	1
"02"	"main"	1	1	1.4927297999966	1	0	0.555576435403334	0.507331683071509	0	1
"02"	"main"	2	0	0.807993599970359	0	0	0.617351606142968	0.472209838262183	0	0
"02"	"main"	3	1	0.565343499998562	0	0	0.699814965848408	0.487189152330699	1	0
"02"	"main"	4	1	0.454006000014488	0	0	0.647251259999374	0.490570523148508	1	0
"02"	"main"	5	1	0.664900000032503	0	0	0.570538538035546	0.38222945411427	1	0
"02"	"main"	6	0	0.414149500022177	0	0	0.533687942383755	0.399934441997411	0	1
"02"	"main"	7	0	0.529337299987674	0	0	0.67666269149968	0.349401476995449	0	0
"02"	"main"	8	1	0.440031499951147	0	0	0.57461080493042	0.327510490836703	0	0
"02"	"main"	9	1	0.419983499974478	0	0	0.582284452413071	0.347729048417966	1	0
"02"	"main"	10	1	0.373971900029574	1	0	0.527791598529542	0.350367798239185	0	1
"02"	"main"	11	1	1.29536639997968	0	0	0.622098546707874	0.374150404794546	1	0
"02"	"main"	12	0	0.681326799967792	1	1	0.707187656210176	0.315027381896704	1	1
"02"	"main"	13	1	0.563989499991294	0	0	0.658319424029582	0.310095470511548	1	0
"02"	"main"	14	0	0.4151458000415	0	0	0.71509836871154	0.26558924336044	0	0
"02"	"main"	15	0	0.463963799993508	0	0	0.793784173387864	0.19788014979461	0	0
"02"	"main"	16	0	0.538802800001577	1	0	0.762025637902687	0.264268040786613	1	1
"02"	"main"	17	0	0.495249600033276	1	0	0.817794370837621	0.228816438657858	1	0
"02"	"main"	18	0	0.578067999973428	1	1	0.943505627675994	0.134531368694185	1	0
"02"	"main"	19	0	0.580227400001604	1	0	0.88042539427006	0.126117376695722	1	0
"02"	"main"	20	0	0.50909370003501	0	0	0.88141419902209	0.167715162454051	0	0
"02"	"main"	21	1	0.602046599960886	0	0	0.926475070515252	0.196257369156	1	0
